merchant_id,signup_date,country,plan_type,industry,churned,churn_date,recency,frequency,monetary,recency_days,segment,segment_name
M00093,2023-07-07,Australia,Shopify,Food,No,,4.0,182.0,18062.32,4.0,0.0,High-GMV Loyal Merchants
M00094,2024-01-15,Canada,Shopify,Home,Yes,2024-10-05,88.0,180.0,17285.82,88.0,0.0,High-GMV Loyal Merchants
M00095,2024-05-07,Australia,Shopify,Beauty,No,,1.0,185.0,18107.71,1.0,0.0,High-GMV Loyal Merchants
M00096,2023-02-10,Canada,Basic,Food,Yes,2023-05-22,590.0,112.0,5312.51,590.0,2.0,At-Risk Merchants
M00097,2023-06-06,India,Advanced,Electronics,Yes,2023-11-09,419.0,159.0,41320.23,419.0,3.0,Low-Value / Dormant Merchants
M00098,2023-01-15,Australia,Basic,Beauty,Yes,2023-06-12,571.0,199.0,10007.37,571.0,2.0,At-Risk Merchants
M00099,2023-03-06,India,Basic,Food,No,,2.0,43.0,2190.3,2.0,1.0,New / Fast-Growing Merchants
M00100,2024-06-04,US,Basic,Food,Yes,2025-03-24,-75.0,93.0,4742.06,-75.0,1.0,New / Fast-Growing Merchants
M00101,2023-12-10,India,Basic,Food,Yes,2024-04-28,251.0,26.0,1165.14,251.0,1.0,New / Fast-Growing Merchants
M00102,2023-05-09,India,Basic,Fashion,Yes,2024-04-03,275.0,147.0,7257.98,275.0,2.0,At-Risk Merchants
M00103,2024-10-09,Canada,Shopify,Home,No,,2.0,105.0,10841.29,2.0,0.0,High-GMV Loyal Merchants
M00104,2024-04-16,India,Basic,Beauty,No,,1.0,194.0,9896.11,1.0,0.0,High-GMV Loyal Merchants
M00105,2023-03-04,Australia,Shopify,Beauty,No,,5.0,36.0,3558.22,5.0,1.0,New / Fast-Growing Merchants
M00106,2023-05-19,Canada,Basic,Beauty,Yes,2023-10-21,439.0,42.0,1980.78,439.0,2.0,At-Risk Merchants
M00107,2024-05-13,US,Basic,Food,Yes,2024-09-07,116.0,175.0,8802.88,116.0,0.0,High-GMV Loyal Merchants
M00108,2024-08-15,Australia,Basic,Home,Yes,2025-04-12,-96.0,21.0,1010.7099999999999,-96.0,1.0,New / Fast-Growing Merchants
M00109,2024-01-27,US,Basic,Electronics,Yes,2024-04-13,263.0,174.0,8847.55,263.0,2.0,At-Risk Merchants
M00110,2024-11-05,India,Shopify,Beauty,No,,2.0,58.0,5945.96,2.0,1.0,New / Fast-Growing Merchants
M00111,2024-02-23,Australia,Basic,Home,Yes,2024-12-27,21.0,68.0,3485.3,21.0,1.0,New / Fast-Growing Merchants
M00112,2023-10-16,Australia,Shopify,Home,No,,1.0,194.0,18958.14,1.0,0.0,High-GMV Loyal Merchants
M00113,2024-01-14,US,Basic,Fashion,Yes,2024-11-29,33.0,84.0,4101.8,33.0,1.0,New / Fast-Growing Merchants
M00114,2024-05-04,Australia,Shopify,Beauty,No,,4.0,141.0,14581.9,4.0,0.0,High-GMV Loyal Merchants
M00115,2023-08-19,Australia,Advanced,Food,No,,1.0,138.0,35069.28,1.0,3.0,Low-Value / Dormant Merchants
M00116,2023-02-10,Australia,Shopify,Home,No,,13.0,27.0,2901.83,13.0,1.0,New / Fast-Growing Merchants
M00117,2023-01-28,India,Basic,Home,No,,10.0,155.0,7896.9,10.0,0.0,High-GMV Loyal Merchants
M00118,2023-05-15,US,Basic,Electronics,No,,12.0,113.0,5589.03,12.0,0.0,High-GMV Loyal Merchants
M00119,2023-07-20,Australia,Basic,Fashion,No,,6.0,43.0,2001.54,6.0,1.0,New / Fast-Growing Merchants
M00120,2023-02-02,Canada,Shopify,Home,No,,2.0,112.0,10776.44,2.0,0.0,High-GMV Loyal Merchants
M00121,2023-02-17,Canada,Basic,Home,No,,16.0,30.0,1405.45,16.0,1.0,New / Fast-Growing Merchants
M00122,2024-05-17,Canada,Basic,Food,No,,8.0,76.0,3934.27,8.0,1.0,New / Fast-Growing Merchants
M00123,2024-02-11,Canada,Shopify,Food,No,,5.0,104.0,10590.96,5.0,0.0,High-GMV Loyal Merchants
M00124,2024-07-27,India,Basic,Electronics,Yes,2025-04-21,-105.0,53.0,2642.65,-105.0,1.0,New / Fast-Growing Merchants
M00125,2024-12-28,Australia,Shopify,Electronics,No,,1.0,177.0,17344.05,1.0,0.0,High-GMV Loyal Merchants
M00126,2023-04-09,US,Basic,Electronics,Yes,2023-10-20,446.0,54.0,2193.18,446.0,2.0,At-Risk Merchants
M00127,2024-11-14,Australia,Basic,Food,Yes,2025-01-07,-6.0,96.0,4810.79,-6.0,1.0,New / Fast-Growing Merchants
M00128,2024-12-26,India,Shopify,Food,No,,1.0,160.0,15862.98,1.0,0.0,High-GMV Loyal Merchants
M00129,2024-06-30,Canada,Basic,Fashion,Yes,2025-04-04,-86.0,35.0,1833.86,-86.0,1.0,New / Fast-Growing Merchants
M00130,2024-09-04,India,Shopify,Beauty,No,,1.0,45.0,4763.39,1.0,1.0,New / Fast-Growing Merchants
M00131,2024-04-06,Australia,Basic,Beauty,Yes,2024-10-26,82.0,28.0,1388.14,82.0,1.0,New / Fast-Growing Merchants
M00132,2024-10-04,US,Basic,Fashion,No,,1.0,184.0,9500.42,1.0,0.0,High-GMV Loyal Merchants
M00133,2023-01-05,India,Shopify,Beauty,No,,9.0,102.0,10436.37,9.0,0.0,High-GMV Loyal Merchants
M00134,2023-08-06,US,Shopify,Food,No,,8.0,78.0,7494.07,8.0,1.0,New / Fast-Growing Merchants
M00135,2024-05-17,India,Shopify,Beauty,No,,5.0,78.0,8113.34,5.0,1.0,New / Fast-Growing Merchants
M00136,2024-02-02,US,Basic,Food,No,,2.0,25.0,1219.84,2.0,1.0,New / Fast-Growing Merchants
M00137,2024-01-28,US,Shopify,Fashion,No,,4.0,174.0,17455.76,4.0,0.0,High-GMV Loyal Merchants
M00138,2023-07-26,Canada,Basic,Electronics,No,,11.0,71.0,3317.69,11.0,1.0,New / Fast-Growing Merchants
M00139,2023-01-15,US,Basic,Fashion,Yes,2023-02-06,695.0,115.0,6017.93,695.0,2.0,At-Risk Merchants
M00140,2024-07-07,Canada,Advanced,Beauty,No,,4.0,65.0,17300.05,4.0,1.0,New / Fast-Growing Merchants
M00141,2024-04-05,Australia,Basic,Food,No,,6.0,63.0,3141.99,6.0,1.0,New / Fast-Growing Merchants
M00142,2024-11-21,Australia,Advanced,Beauty,No,,1.0,139.0,36330.59,1.0,3.0,Low-Value / Dormant Merchants
M00143,2024-07-28,Canada,Basic,Beauty,No,,7.0,23.0,995.61,7.0,1.0,New / Fast-Growing Merchants
M00144,2023-08-29,Canada,Basic,Electronics,No,,1.0,128.0,6151.61,1.0,0.0,High-GMV Loyal Merchants
M00145,2024-07-17,India,Basic,Beauty,Yes,2024-11-12,50.0,174.0,8671.69,50.0,0.0,High-GMV Loyal Merchants
M00146,2023-04-06,India,Advanced,Electronics,Yes,2023-12-01,397.0,153.0,40318.6,397.0,3.0,Low-Value / Dormant Merchants
M00147,2024-04-29,India,Shopify,Food,No,,5.0,89.0,9031.56,5.0,1.0,New / Fast-Growing Merchants
M00148,2024-02-11,Australia,Shopify,Food,No,,2.0,54.0,5342.04,2.0,1.0,New / Fast-Growing Merchants
M00149,2023-08-19,India,Shopify,Electronics,No,,2.0,158.0,16135.15,2.0,0.0,High-GMV Loyal Merchants
M00150,2024-10-16,US,Shopify,Fashion,No,,1.0,181.0,18323.95,1.0,0.0,High-GMV Loyal Merchants
M00151,2023-06-20,US,Shopify,Food,No,,2.0,171.0,16893.42,2.0,0.0,High-GMV Loyal Merchants
M00152,2024-06-24,India,Basic,Fashion,No,,1.0,114.0,5836.36,1.0,0.0,High-GMV Loyal Merchants
M00153,2023-02-05,US,Basic,Food,No,,2.0,176.0,8413.74,2.0,0.0,High-GMV Loyal Merchants
M00154,2024-06-08,Australia,Basic,Food,Yes,2024-07-26,159.0,142.0,7112.62,159.0,0.0,High-GMV Loyal Merchants
M00155,2023-06-09,US,Advanced,Home,No,,7.0,106.0,26640.6,7.0,3.0,Low-Value / Dormant Merchants
M00156,2024-11-29,Australia,Advanced,Beauty,No,,2.0,123.0,32879.02,2.0,3.0,Low-Value / Dormant Merchants
M00157,2023-08-31,Canada,Basic,Beauty,Yes,2024-05-07,239.0,135.0,6449.2,239.0,2.0,At-Risk Merchants
M00158,2023-03-27,Canada,Shopify,Fashion,Yes,2023-11-24,408.0,158.0,16145.6,408.0,2.0,At-Risk Merchants
M00159,2024-07-31,Canada,Advanced,Beauty,Yes,2025-02-18,-47.0,127.0,32462.91,-47.0,3.0,Low-Value / Dormant Merchants
M00160,2024-11-12,Canada,Basic,Fashion,No,,1.0,192.0,9495.81,1.0,0.0,High-GMV Loyal Merchants
M00161,2024-07-10,US,Shopify,Food,No,,4.0,94.0,9546.51,4.0,1.0,New / Fast-Growing Merchants
M00162,2024-07-27,India,Advanced,Home,No,,7.0,17.0,4041.31,7.0,1.0,New / Fast-Growing Merchants
M00163,2024-10-07,US,Basic,Home,Yes,2025-08-30,-239.0,63.0,3101.14,-239.0,1.0,New / Fast-Growing Merchants
M00164,2023-01-28,Australia,Shopify,Food,No,,9.0,188.0,18371.88,9.0,0.0,High-GMV Loyal Merchants
M00165,2024-09-11,US,Basic,Electronics,No,,6.0,24.0,1248.53,6.0,1.0,New / Fast-Growing Merchants
M00166,2024-07-09,US,Advanced,Electronics,Yes,2024-08-14,140.0,106.0,27852.57,140.0,3.0,Low-Value / Dormant Merchants
M00167,2023-12-06,Australia,Advanced,Beauty,No,,4.0,45.0,11803.95,4.0,1.0,New / Fast-Growing Merchants
M00168,2023-11-27,Canada,Advanced,Fashion,Yes,2024-11-18,44.0,96.0,26555.46,44.0,3.0,Low-Value / Dormant Merchants
M00169,2024-10-01,Canada,Basic,Home,No,,1.0,91.0,4931.42,1.0,1.0,New / Fast-Growing Merchants
M00170,2024-05-20,Canada,Advanced,Beauty,No,,7.0,53.0,13835.1,7.0,1.0,New / Fast-Growing Merchants
M00171,2023-12-14,India,Shopify,Food,No,,4.0,29.0,2835.85,4.0,1.0,New / Fast-Growing Merchants
M00172,2024-04-17,Australia,Basic,Home,No,,2.0,177.0,9119.22,2.0,0.0,High-GMV Loyal Merchants
M00173,2023-08-19,Australia,Shopify,Fashion,No,,1.0,199.0,19373.2,1.0,0.0,High-GMV Loyal Merchants
M00174,2023-07-09,US,Basic,Fashion,No,,3.0,172.0,8422.88,3.0,0.0,High-GMV Loyal Merchants
M00175,2023-08-13,India,Shopify,Electronics,No,,34.0,33.0,3131.89,34.0,1.0,New / Fast-Growing Merchants
M00176,2024-01-20,Canada,Basic,Beauty,Yes,2024-03-14,293.0,151.0,7673.72,293.0,2.0,At-Risk Merchants
M00177,2024-01-12,India,Basic,Food,Yes,2024-07-17,169.0,110.0,5538.45,169.0,0.0,High-GMV Loyal Merchants
M00178,2023-10-10,Australia,Basic,Home,No,,1.0,49.0,2337.11,1.0,1.0,New / Fast-Growing Merchants
M00179,2024-09-24,Australia,Shopify,Fashion,No,,1.0,19.0,1863.91,1.0,1.0,New / Fast-Growing Merchants
M00180,2024-09-19,US,Basic,Home,No,,1.0,28.0,1478.46,1.0,1.0,New / Fast-Growing Merchants
M00181,2023-09-16,US,Shopify,Food,Yes,2024-03-27,280.0,94.0,9348.5,280.0,2.0,At-Risk Merchants
M00182,2023-12-25,Australia,Basic,Home,No,,22.0,21.0,1148.51,22.0,1.0,New / Fast-Growing Merchants
M00183,2024-12-10,Canada,Basic,Beauty,Yes,2025-03-20,-78.0,144.0,7062.8,-78.0,0.0,High-GMV Loyal Merchants
M00184,2024-03-31,Canada,Basic,Electronics,No,,5.0,155.0,7230.49,5.0,0.0,High-GMV Loyal Merchants
M00185,2024-02-15,India,Shopify,Home,No,,3.0,175.0,17851.69,3.0,0.0,High-GMV Loyal Merchants
M00186,2024-10-10,Australia,Basic,Electronics,No,,1.0,146.0,7120.78,1.0,0.0,High-GMV Loyal Merchants
M00187,2023-11-14,Australia,Shopify,Food,Yes,2024-04-09,267.0,174.0,17802.25,267.0,2.0,At-Risk Merchants
M00188,2024-11-07,Canada,Advanced,Electronics,No,,1.0,194.0,51024.35,1.0,3.0,Low-Value / Dormant Merchants
M00189,2023-08-13,Canada,Shopify,Home,No,,1.0,180.0,18360.69,1.0,0.0,High-GMV Loyal Merchants
M00190,2023-08-22,Australia,Basic,Home,No,,3.0,85.0,4369.86,3.0,1.0,New / Fast-Growing Merchants
M00191,2024-11-14,US,Basic,Fashion,No,,1.0,112.0,5495.33,1.0,0.0,High-GMV Loyal Merchants
M00192,2024-10-25,Australia,Advanced,Home,No,,1.0,153.0,41008.18,1.0,3.0,Low-Value / Dormant Merchants
M00193,2024-01-09,Australia,Basic,Electronics,No,,1.0,108.0,5329.79,1.0,1.0,New / Fast-Growing Merchants
M00194,2024-11-02,Canada,Advanced,Fashion,No,,1.0,176.0,46123.24,1.0,3.0,Low-Value / Dormant Merchants
M00195,2024-08-30,Canada,Basic,Home,Yes,2024-09-26,97.0,115.0,5952.23,97.0,0.0,High-GMV Loyal Merchants
M00196,2024-04-16,US,Advanced,Home,No,,5.0,36.0,10308.82,5.0,1.0,New / Fast-Growing Merchants
M00197,2023-08-21,US,Shopify,Food,No,,6.0,20.0,2250.9700000000003,6.0,1.0,New / Fast-Growing Merchants
M00198,2024-11-22,India,Advanced,Fashion,No,,1.0,76.0,19067.0,1.0,1.0,New / Fast-Growing Merchants
M00199,2023-04-23,Australia,Basic,Food,Yes,2023-06-04,577.0,67.0,3393.36,577.0,2.0,At-Risk Merchants
M00200,2024-05-11,Canada,Shopify,Food,No,,4.0,107.0,11266.24,4.0,0.0,High-GMV Loyal Merchants
M00201,2024-03-17,US,Basic,Food,Yes,2024-06-23,193.0,133.0,6475.64,193.0,0.0,High-GMV Loyal Merchants
M00202,2024-07-17,India,Basic,Beauty,No,,7.0,35.0,1782.39,7.0,1.0,New / Fast-Growing Merchants
M00203,2023-09-25,India,Shopify,Food,Yes,2024-08-22,132.0,93.0,9304.93,132.0,1.0,New / Fast-Growing Merchants
M00204,2024-05-24,Canada,Advanced,Electronics,No,,2.0,103.0,27597.0,2.0,3.0,Low-Value / Dormant Merchants
M00205,2024-01-21,Canada,Advanced,Home,No,,6.0,120.0,30667.01,6.0,3.0,Low-Value / Dormant Merchants
M00206,2024-01-22,India,Shopify,Beauty,No,,4.0,183.0,17686.98,4.0,0.0,High-GMV Loyal Merchants
M00207,2023-04-23,US,Basic,Food,No,,2.0,193.0,9643.3,2.0,0.0,High-GMV Loyal Merchants
M00208,2024-09-04,India,Basic,Home,No,,1.0,119.0,5760.59,1.0,0.0,High-GMV Loyal Merchants
M00209,2024-09-16,Australia,Shopify,Fashion,No,,1.0,118.0,11900.99,1.0,0.0,High-GMV Loyal Merchants
M00210,2023-03-22,Australia,Basic,Fashion,Yes,2024-03-13,296.0,140.0,7136.72,296.0,2.0,At-Risk Merchants
M00211,2024-11-29,Canada,Basic,Home,Yes,2025-09-19,-260.0,109.0,5624.85,-260.0,0.0,High-GMV Loyal Merchants
M00212,2023-04-23,US,Basic,Electronics,Yes,2024-01-25,342.0,172.0,8643.25,342.0,2.0,At-Risk Merchants
M00213,2023-01-02,US,Basic,Home,No,,62.0,17.0,803.46,62.0,1.0,New / Fast-Growing Merchants
M00214,2024-10-03,Australia,Basic,Home,Yes,2025-04-01,-88.0,30.0,1483.09,-88.0,1.0,New / Fast-Growing Merchants
M00215,2023-08-08,India,Basic,Beauty,Yes,2024-06-10,208.0,165.0,8868.38,208.0,0.0,High-GMV Loyal Merchants
M00216,2024-07-19,Canada,Basic,Fashion,No,,1.0,46.0,2267.85,1.0,1.0,New / Fast-Growing Merchants
M00217,2023-08-13,India,Basic,Fashion,No,,2.0,78.0,4077.08,2.0,1.0,New / Fast-Growing Merchants
M00218,2024-01-20,India,Advanced,Food,No,,3.0,52.0,14434.5,3.0,1.0,New / Fast-Growing Merchants
M00219,2024-02-07,India,Basic,Home,Yes,2024-04-29,248.0,166.0,8012.51,248.0,2.0,At-Risk Merchants
M00220,2024-09-29,US,Basic,Home,Yes,2025-05-27,-145.0,55.0,3029.8,-145.0,1.0,New / Fast-Growing Merchants
