merchant_id,session_date,sessions,conversions
M00004,2024-10-28,474,22
M00004,2024-11-04,443,10
M00004,2024-11-11,39,1
M00004,2024-11-18,352,12
M00004,2024-11-25,62,3
M00004,2024-12-02,357,16
M00004,2024-12-09,302,5
M00004,2024-12-16,458,22
M00004,2024-12-23,47,1
M00004,2024-12-30,65,2
M00005,2023-03-13,37,1
M00005,2023-03-20,201,9
M00005,2023-03-27,447,19
M00005,2023-04-03,36,1
M00005,2023-04-10,254,4
M00005,2023-04-17,415,5
M00005,2023-04-24,136,4
M00005,2023-05-01,176,2
M00005,2023-05-08,128,4
M00005,2023-05-15,239,6
M00005,2023-05-22,342,13
M00005,2023-05-29,233,3
M00005,2023-06-05,231,11
M00005,2023-06-12,422,7
M00005,2023-06-19,420,14
M00005,2023-06-26,355,15
M00005,2023-07-03,375,12
M00005,2023-07-10,147,4
M00005,2023-07-17,461,13
M00005,2023-07-24,389,13
M00005,2023-07-31,250,10
M00005,2023-08-07,376,6
M00005,2023-08-14,165,3
M00005,2023-08-21,81,3
M00005,2023-08-28,352,10
M00005,2023-09-04,220,7
M00005,2023-09-11,392,17
M00005,2023-09-18,492,13
M00005,2023-09-25,93,3
M00005,2023-10-02,330,6
M00005,2023-10-09,156,6
M00005,2023-10-16,379,8
M00005,2023-10-23,226,11
M00005,2023-10-30,192,6
M00005,2023-11-06,109,4
M00005,2023-11-13,248,4
M00005,2023-11-20,192,8
M00005,2023-11-27,166,2
M00005,2023-12-04,291,4
M00005,2023-12-11,408,15
M00005,2023-12-18,445,15
M00005,2023-12-25,200,7
M00005,2024-01-01,471,19
M00005,2024-01-08,377,18
M00005,2024-01-15,115,5
M00005,2024-01-22,201,6
M00005,2024-01-29,410,12
M00005,2024-02-05,471,17
M00005,2024-02-12,422,12
M00005,2024-02-19,271,8
M00005,2024-02-26,222,8
M00005,2024-03-04,210,8
M00005,2024-03-11,425,9
M00005,2024-03-18,357,13
M00005,2024-03-25,256,11
M00005,2024-04-01,422,13
M00005,2024-04-08,491,20
M00005,2024-04-15,494,5
M00005,2024-04-22,324,7
M00005,2024-04-29,176,5
M00005,2024-05-06,463,6
M00005,2024-05-13,416,12
M00005,2024-05-20,268,6
M00005,2024-05-27,333,15
M00005,2024-06-03,372,7
M00005,2024-06-10,381,14
M00005,2024-06-17,157,6
M00005,2024-06-24,488,9
M00005,2024-07-01,277,7
M00005,2024-07-08,348,12
M00005,2024-07-15,291,12
M00005,2024-07-22,75,2
M00005,2024-07-29,154,7
M00005,2024-08-05,338,14
M00005,2024-08-12,264,4
M00005,2024-08-19,279,13
M00005,2024-08-26,160,4
M00005,2024-09-02,394,13
M00005,2024-09-09,498,13
M00005,2024-09-16,484,7
M00005,2024-09-23,302,6
M00005,2024-09-30,199,5
M00005,2024-10-07,35,0
M00005,2024-10-14,225,11
M00005,2024-10-21,140,6
M00005,2024-10-28,184,3
M00005,2024-11-04,418,19
M00005,2024-11-11,391,13
M00005,2024-11-18,55,2
M00005,2024-11-25,197,4
M00005,2024-12-02,237,5
M00005,2024-12-09,364,7
M00005,2024-12-16,498,13
M00005,2024-12-23,396,12
M00005,2024-12-30,304,7
M00006,2024-12-01,354,10
M00006,2024-12-08,390,13
M00006,2024-12-15,234,3
M00006,2024-12-22,209,2
M00006,2024-12-29,415,11
M00007,2023-01-21,120,4
M00007,2023-01-28,98,4
M00007,2023-02-04,481,12
M00007,2023-02-11,334,4
M00007,2023-02-18,131,4
M00007,2023-02-25,385,15
M00007,2023-03-04,385,5
M00008,2024-09-06,142,5
M00008,2024-09-13,235,6
M00008,2024-09-20,170,6
M00008,2024-09-27,144,2
M00008,2024-10-04,346,7
M00008,2024-10-11,210,6
M00008,2024-10-18,445,14
M00008,2024-10-25,367,15
M00008,2024-11-01,319,11
M00008,2024-11-08,436,10
M00008,2024-11-15,190,8
M00008,2024-11-22,236,2
M00008,2024-11-29,316,13
M00008,2024-12-06,322,6
M00008,2024-12-13,87,2
M00008,2024-12-20,45,1
M00008,2024-12-27,79,2
M00009,2023-05-02,401,5
M00009,2023-05-09,238,7
M00009,2023-05-16,163,6
M00009,2023-05-23,299,3
M00009,2023-05-30,336,3
M00009,2023-06-06,202,5
M00009,2023-06-13,421,9
M00009,2023-06-20,117,2
M00009,2023-06-27,258,11
M00009,2023-07-04,447,7
M00009,2023-07-11,245,2
M00009,2023-07-18,487,5
M00009,2023-07-25,490,17
M00009,2023-08-01,148,1
M00009,2023-08-08,463,4
M00009,2023-08-15,343,5
M00009,2023-08-22,99,3
M00009,2023-08-29,112,5
M00009,2023-09-05,339,14
M00009,2023-09-12,420,6
M00009,2023-09-19,401,15
M00009,2023-09-26,472,15
M00009,2023-10-03,366,15
M00009,2023-10-10,95,3
M00009,2023-10-17,83,1
M00009,2023-10-24,399,19
M00009,2023-10-31,98,4
M00009,2023-11-07,448,10
M00009,2023-11-14,121,1
M00009,2023-11-21,297,10
M00009,2023-11-28,79,1
M00009,2023-12-05,271,3
M00009,2023-12-12,176,6
M00009,2023-12-19,496,17
M00009,2023-12-26,206,9
M00009,2024-01-02,462,15
M00009,2024-01-09,320,4
M00009,2024-01-16,412,5
M00009,2024-01-23,340,15
M00009,2024-01-30,472,5
M00009,2024-02-06,350,5
M00009,2024-02-13,188,9
M00009,2024-02-20,29,0
M00009,2024-02-27,178,2
M00009,2024-03-05,409,9
M00009,2024-03-12,287,2
M00009,2024-03-19,165,8
M00009,2024-03-26,435,7
M00009,2024-04-02,342,6
M00009,2024-04-09,456,14
M00009,2024-04-16,199,4
M00009,2024-04-23,313,3
M00009,2024-04-30,457,7
M00009,2024-05-07,234,3
M00009,2024-05-14,227,5
M00009,2024-05-21,273,7
M00009,2024-05-28,285,13
M00009,2024-06-04,61,1
M00009,2024-06-11,23,0
M00009,2024-06-18,476,21
M00009,2024-06-25,175,6
M00009,2024-07-02,62,2
M00009,2024-07-09,463,6
M00009,2024-07-16,277,10
M00009,2024-07-23,62,2
M00009,2024-07-30,375,5
M00009,2024-08-06,475,10
M00009,2024-08-13,217,3
M00009,2024-08-20,276,4
M00009,2024-08-27,354,12
M00009,2024-09-03,349,12
M00009,2024-09-10,281,8
M00009,2024-09-17,363,6
M00009,2024-09-24,341,10
M00009,2024-10-01,316,8
M00009,2024-10-08,479,4
M00009,2024-10-15,51,0
M00009,2024-10-22,206,7
M00009,2024-10-29,324,13
M00009,2024-11-05,283,9
M00009,2024-11-12,125,3
M00009,2024-11-19,235,5
M00009,2024-11-26,341,11
M00009,2024-12-03,234,3
M00009,2024-12-10,309,13
M00009,2024-12-17,76,1
M00009,2024-12-24,132,2
M00009,2024-12-31,314,10
M00010,2024-04-11,333,13
M00010,2024-04-18,254,10
M00010,2024-04-25,472,13
M00010,2024-05-02,407,18
M00010,2024-05-09,24,1
M00010,2024-05-16,232,7
M00010,2024-05-23,203,2
M00010,2024-05-30,53,2
M00010,2024-06-06,466,7
M00010,2024-06-13,301,10
M00010,2024-06-20,409,18
M00010,2024-06-27,115,3
M00010,2024-07-04,492,12
M00010,2024-07-11,148,4
M00010,2024-07-18,124,1
M00010,2024-07-25,132,4
M00010,2024-08-01,226,4
M00010,2024-08-08,282,12
M00010,2024-08-15,415,15
M00010,2024-08-22,237,9
M00010,2024-08-29,474,7
M00010,2024-09-05,324,3
M00010,2024-09-12,68,1
M00010,2024-09-19,389,15
M00010,2024-09-26,260,7
M00010,2024-10-03,101,4
M00010,2024-10-10,156,2
M00010,2024-10-17,105,4
M00010,2024-10-24,50,2
M00010,2024-10-31,410,17
M00010,2024-11-07,147,7
M00010,2024-11-14,177,2
M00010,2024-11-21,287,4
M00010,2024-11-28,279,8
M00010,2024-12-05,174,2
M00010,2024-12-12,364,6
M00010,2024-12-19,175,6
M00010,2024-12-26,187,7
M00011,2023-08-03,352,11
M00011,2023-08-10,341,6
M00011,2023-08-17,93,4
M00011,2023-08-24,148,4
M00011,2023-08-31,176,3
M00011,2023-09-07,385,16
M00011,2023-09-14,70,1
M00011,2023-09-21,295,11
M00011,2023-09-28,177,5
M00011,2023-10-05,264,3
M00011,2023-10-12,318,5
M00011,2023-10-19,479,20
M00011,2023-10-26,410,4
M00011,2023-11-02,292,7
M00011,2023-11-09,188,4
M00011,2023-11-16,425,16
M00011,2023-11-23,351,11
M00011,2023-11-30,81,2
M00011,2023-12-07,426,13
M00011,2023-12-14,398,4
M00011,2023-12-21,45,0
M00011,2023-12-28,271,4
M00011,2024-01-04,83,2
M00011,2024-01-11,395,4
M00011,2024-01-18,348,16
M00011,2024-01-25,474,5
M00011,2024-02-01,393,5
M00011,2024-02-08,244,5
M00011,2024-02-15,377,16
M00011,2024-02-22,292,7
M00011,2024-02-29,93,2
M00011,2024-03-07,61,2
M00011,2024-03-14,366,5
M00011,2024-03-21,88,1
M00011,2024-03-28,305,4
M00011,2024-04-04,45,1
M00011,2024-04-11,400,11
M00011,2024-04-18,75,1
M00011,2024-04-25,235,6
M00011,2024-05-02,95,1
M00011,2024-05-09,46,1
M00011,2024-05-16,230,7
M00011,2024-05-23,376,11
M00012,2023-11-27,255,5
M00012,2023-12-04,400,13
M00012,2023-12-11,163,5
M00012,2023-12-18,179,7
M00012,2023-12-25,272,3
M00012,2024-01-01,139,3
M00012,2024-01-08,133,6
M00012,2024-01-15,310,13
M00012,2024-01-22,331,13
M00012,2024-01-29,181,4
M00012,2024-02-05,138,3
M00012,2024-02-12,49,0
M00012,2024-02-19,132,5
M00012,2024-02-26,277,9
M00012,2024-03-04,23,0
M00012,2024-03-11,56,2
M00012,2024-03-18,60,1
M00012,2024-03-25,373,7
M00012,2024-04-01,218,4
M00012,2024-04-08,117,1
M00012,2024-04-15,494,5
M00012,2024-04-22,186,4
M00012,2024-04-29,428,18
M00012,2024-05-06,446,13
M00012,2024-05-13,242,8
M00012,2024-05-20,97,4
M00012,2024-05-27,217,2
M00012,2024-06-03,307,6
M00012,2024-06-10,397,7
M00012,2024-06-17,42,1
M00012,2024-06-24,282,4
M00012,2024-07-01,119,1
M00012,2024-07-08,271,10
M00012,2024-07-15,419,6
M00012,2024-07-22,379,3
M00012,2024-07-29,259,8
M00012,2024-08-05,277,3
M00012,2024-08-12,394,7
M00012,2024-08-19,347,4
M00012,2024-08-26,206,3
M00012,2024-09-02,21,0
M00012,2024-09-09,431,7
M00012,2024-09-16,405,14
M00012,2024-09-23,432,16
M00012,2024-09-30,123,1
M00012,2024-10-07,240,5
M00012,2024-10-14,488,20
M00012,2024-10-21,192,1
M00012,2024-10-28,106,1
M00012,2024-11-04,177,3
M00012,2024-11-11,405,4
M00012,2024-11-18,395,13
M00012,2024-11-25,408,15
M00012,2024-12-02,39,1
M00012,2024-12-09,51,1
M00012,2024-12-16,85,1
M00012,2024-12-23,86,1
M00012,2024-12-30,69,0
M00013,2024-04-03,275,8
M00013,2024-04-10,462,18
M00013,2024-04-17,127,5
M00013,2024-04-24,88,3
M00013,2024-05-01,187,8
M00013,2024-05-08,460,9
M00013,2024-05-15,211,9
M00013,2024-05-22,97,4
M00013,2024-05-29,349,3
M00013,2024-06-05,170,4
M00013,2024-06-12,455,9
M00013,2024-06-19,191,7
M00013,2024-06-26,320,12
M00013,2024-07-03,262,4
M00013,2024-07-10,112,3
M00013,2024-07-17,168,4
M00013,2024-07-24,334,4
M00013,2024-07-31,275,6
M00013,2024-08-07,86,2
M00013,2024-08-14,21,0
M00013,2024-08-21,119,4
M00013,2024-08-28,320,15
M00013,2024-09-04,351,4
M00013,2024-09-11,170,7
M00013,2024-09-18,78,2
M00013,2024-09-25,155,1
M00013,2024-10-02,347,5
M00013,2024-10-09,427,19
M00013,2024-10-16,474,15
M00013,2024-10-23,273,4
M00013,2024-10-30,315,6
M00013,2024-11-06,183,5
M00013,2024-11-13,344,14
M00013,2024-11-20,377,3
M00013,2024-11-27,494,8
M00013,2024-12-04,176,6
M00013,2024-12-11,363,7
M00013,2024-12-18,290,6
M00013,2024-12-25,487,8
M00014,2023-03-29,297,7
M00014,2023-04-05,113,3
M00014,2023-04-12,72,0
M00014,2023-04-19,414,18
M00014,2023-04-26,112,5
M00014,2023-05-03,115,5
M00014,2023-05-10,401,11
M00014,2023-05-17,345,10
M00014,2023-05-24,141,5
M00014,2023-05-31,318,13
M00014,2023-06-07,95,3
M00014,2023-06-14,341,9
M00014,2023-06-21,323,9
M00014,2023-06-28,462,11
M00014,2023-07-05,461,16
M00014,2023-07-12,285,5
M00014,2023-07-19,112,1
M00014,2023-07-26,394,17
M00014,2023-08-02,356,5
M00014,2023-08-09,103,4
M00014,2023-08-16,222,10
M00014,2023-08-23,321,9
M00014,2023-08-30,261,4
M00014,2023-09-06,284,12
M00014,2023-09-13,341,14
M00014,2023-09-20,48,2
M00014,2023-09-27,219,3
M00014,2023-10-04,385,6
M00014,2023-10-11,198,2
M00014,2023-10-18,291,12
M00014,2023-10-25,319,11
M00014,2023-11-01,147,4
M00014,2023-11-08,198,7
M00014,2023-11-15,458,19
M00014,2023-11-22,437,21
M00014,2023-11-29,373,14
M00014,2023-12-06,395,18
M00014,2023-12-13,424,8
M00014,2023-12-20,97,1
M00014,2023-12-27,62,2
M00014,2024-01-03,276,2
M00014,2024-01-10,429,17
M00014,2024-01-17,413,16
M00014,2024-01-24,286,4
M00014,2024-01-31,300,3
M00014,2024-02-07,108,2
M00014,2024-02-14,43,0
M00014,2024-02-21,219,4
M00014,2024-02-28,363,16
M00014,2024-03-06,135,2
M00014,2024-03-13,472,19
M00014,2024-03-20,459,20
M00014,2024-03-27,223,4
M00014,2024-04-03,415,18
M00014,2024-04-10,42,1
M00014,2024-04-17,145,2
M00014,2024-04-24,207,3
M00014,2024-05-01,381,11
M00014,2024-05-08,155,3
M00014,2024-05-15,295,3
M00014,2024-05-22,196,4
M00014,2024-05-29,397,5
M00014,2024-06-05,457,18
M00014,2024-06-12,132,1
M00014,2024-06-19,252,7
M00014,2024-06-26,472,16
M00014,2024-07-03,368,13
M00014,2024-07-10,78,1
M00014,2024-07-17,214,2
M00014,2024-07-24,95,4
M00014,2024-07-31,337,6
M00014,2024-08-07,68,0
M00014,2024-08-14,328,11
M00014,2024-08-21,383,4
M00014,2024-08-28,107,1
M00014,2024-09-04,146,4
M00014,2024-09-11,476,17
M00014,2024-09-18,300,14
M00014,2024-09-25,279,12
M00014,2024-10-02,91,0
M00014,2024-10-09,486,13
M00014,2024-10-16,243,7
M00014,2024-10-23,393,7
M00014,2024-10-30,470,17
M00014,2024-11-06,136,6
M00014,2024-11-13,434,19
M00014,2024-11-20,458,9
M00014,2024-11-27,159,5
M00014,2024-12-04,325,3
M00014,2024-12-11,333,4
M00014,2024-12-18,301,3
M00014,2024-12-25,490,18
M00015,2024-01-08,136,3
M00015,2024-01-15,342,15
M00015,2024-01-22,446,22
M00015,2024-01-29,294,2
M00015,2024-02-05,381,12
M00015,2024-02-12,318,13
M00015,2024-02-19,350,14
M00015,2024-02-26,105,3
M00015,2024-03-04,396,16
M00015,2024-03-11,142,4
M00015,2024-03-18,326,7
M00015,2024-03-25,433,5
M00015,2024-04-01,491,21
M00015,2024-04-08,322,6
M00015,2024-04-15,172,5
M00015,2024-04-22,60,1
M00015,2024-04-29,92,4
M00015,2024-05-06,218,5
M00015,2024-05-13,91,2
M00015,2024-05-20,300,11
M00015,2024-05-27,331,6
M00015,2024-06-03,275,9
M00015,2024-06-10,366,11
M00015,2024-06-17,399,19
M00015,2024-06-24,490,14
M00015,2024-07-01,391,8
M00015,2024-07-08,298,13
M00015,2024-07-15,189,4
M00015,2024-07-22,406,18
M00015,2024-07-29,48,2
M00015,2024-08-05,300,13
M00015,2024-08-12,379,3
M00015,2024-08-19,480,11
M00015,2024-08-26,248,11
M00015,2024-09-02,233,7
M00015,2024-09-09,139,1
M00015,2024-09-16,463,14
M00015,2024-09-23,406,18
M00015,2024-09-30,412,13
M00015,2024-10-07,256,8
M00015,2024-10-14,227,7
M00015,2024-10-21,415,5
M00015,2024-10-28,295,6
M00015,2024-11-04,242,8
M00015,2024-11-11,95,3
M00015,2024-11-18,328,11
M00015,2024-11-25,234,5
M00015,2024-12-02,132,1
M00015,2024-12-09,296,12
M00015,2024-12-16,446,14
M00015,2024-12-23,392,14
M00015,2024-12-30,259,9
M00016,2023-04-10,160,6
M00016,2023-04-17,494,6
M00016,2023-04-24,227,10
M00016,2023-05-01,487,15
M00016,2023-05-08,59,2
M00016,2023-05-15,332,11
M00016,2023-05-22,481,8
M00016,2023-05-29,135,2
M00016,2023-06-05,396,15
M00016,2023-06-12,71,3
M00016,2023-06-19,159,6
M00016,2023-06-26,45,0
M00016,2023-07-03,233,10
M00016,2023-07-10,253,6
M00016,2023-07-17,428,19
M00016,2023-07-24,261,7
M00016,2023-07-31,359,11
M00016,2023-08-07,251,9
M00016,2023-08-14,224,7
M00016,2023-08-21,449,15
M00016,2023-08-28,337,7
M00016,2023-09-04,492,20
M00016,2023-09-11,210,9
M00016,2023-09-18,449,13
M00016,2023-09-25,87,1
M00016,2023-10-02,50,1
M00016,2023-10-09,273,8
M00016,2023-10-16,396,10
M00016,2023-10-23,143,3
M00016,2023-10-30,332,7
M00016,2023-11-06,487,10
M00016,2023-11-13,181,5
M00016,2023-11-20,493,10
M00016,2023-11-27,477,22
M00016,2023-12-04,280,9
M00016,2023-12-11,421,6
M00016,2023-12-18,438,5
M00016,2023-12-25,329,6
M00016,2024-01-01,193,2
M00016,2024-01-08,114,2
M00016,2024-01-15,318,15
M00016,2024-01-22,310,9
M00016,2024-01-29,431,15
M00016,2024-02-05,330,14
M00016,2024-02-12,381,9
M00016,2024-02-19,171,7
M00016,2024-02-26,93,4
M00016,2024-03-04,460,5
M00016,2024-03-11,244,9
M00016,2024-03-18,214,5
M00016,2024-03-25,423,19
M00016,2024-04-01,425,12
M00016,2024-04-08,472,18
M00016,2024-04-15,48,1
M00016,2024-04-22,116,2
M00016,2024-04-29,79,2
M00016,2024-05-06,346,10
M00016,2024-05-13,362,16
M00016,2024-05-20,58,2
M00016,2024-05-27,357,10
M00016,2024-06-03,401,12
M00016,2024-06-10,465,17
M00016,2024-06-17,213,4
M00016,2024-06-24,293,7
M00016,2024-07-01,496,10
M00016,2024-07-08,456,17
M00016,2024-07-15,22,0
M00016,2024-07-22,217,9
M00016,2024-07-29,386,4
M00016,2024-08-05,34,1
M00016,2024-08-12,118,2
M00016,2024-08-19,403,11
M00016,2024-08-26,241,3
M00016,2024-09-02,353,15
M00016,2024-09-09,460,15
M00016,2024-09-16,272,10
M00016,2024-09-23,243,7
M00016,2024-09-30,444,8
M00016,2024-10-07,331,7
M00016,2024-10-14,444,4
M00016,2024-10-21,127,4
M00016,2024-10-28,498,17
M00016,2024-11-04,44,1
M00016,2024-11-11,143,4
M00016,2024-11-18,35,0
M00016,2024-11-25,80,1
M00016,2024-12-02,57,2
M00016,2024-12-09,218,4
M00016,2024-12-16,119,2
M00016,2024-12-23,103,3
M00016,2024-12-30,366,13
M00017,2024-10-25,446,14
M00017,2024-11-01,421,12
M00017,2024-11-08,123,3
M00017,2024-11-15,267,7
M00017,2024-11-22,185,3
M00017,2024-11-29,347,8
M00017,2024-12-06,462,13
M00017,2024-12-13,322,16
M00017,2024-12-20,44,1
M00017,2024-12-27,381,14
M00018,2023-05-11,340,8
M00018,2023-05-18,448,19
M00018,2023-05-25,137,5
M00018,2023-06-01,470,12
M00018,2023-06-08,354,7
M00018,2023-06-15,168,2
M00018,2023-06-22,254,3
M00018,2023-06-29,481,12
M00018,2023-07-06,295,6
M00018,2023-07-13,452,22
M00018,2023-07-20,385,16
M00018,2023-07-27,452,14
M00018,2023-08-03,240,6
M00018,2023-08-10,360,13
M00018,2023-08-17,382,5
M00018,2023-08-24,198,4
M00018,2023-08-31,414,13
M00018,2023-09-07,216,2
M00018,2023-09-14,339,14
M00018,2023-09-21,365,11
M00018,2023-09-28,350,10
M00018,2023-10-05,440,9
M00018,2023-10-12,260,6
M00018,2023-10-19,141,3
M00018,2023-10-26,257,4
M00018,2023-11-02,480,18
M00018,2023-11-09,416,9
M00018,2023-11-16,124,4
M00018,2023-11-23,460,11
M00018,2023-11-30,446,14
M00018,2023-12-07,96,3
M00018,2023-12-14,469,22
M00018,2023-12-21,136,4
M00018,2023-12-28,56,0
M00018,2024-01-04,145,4
M00018,2024-01-11,164,2
M00018,2024-01-18,78,2
M00018,2024-01-25,163,6
M00018,2024-02-01,388,4
M00018,2024-02-08,61,1
M00018,2024-02-15,61,1
M00018,2024-02-22,401,9
M00018,2024-02-29,42,1
M00018,2024-03-07,482,13
M00018,2024-03-14,369,16
M00018,2024-03-21,32,1
M00018,2024-03-28,333,16
M00018,2024-04-04,308,14
M00018,2024-04-11,292,4
M00018,2024-04-18,249,9
M00018,2024-04-25,67,2
M00018,2024-05-02,404,12
M00018,2024-05-09,176,8
M00018,2024-05-16,255,7
M00018,2024-05-23,302,15
M00018,2024-05-30,189,4
M00018,2024-06-06,112,4
M00018,2024-06-13,455,14
M00018,2024-06-20,256,3
M00018,2024-06-27,61,1
M00018,2024-07-04,209,9
M00018,2024-07-11,282,6
M00018,2024-07-18,133,2
M00018,2024-07-25,496,6
M00018,2024-08-01,289,5
M00018,2024-08-08,452,7
M00018,2024-08-15,385,8
M00018,2024-08-22,379,5
M00018,2024-08-29,120,1
M00018,2024-09-05,444,20
M00018,2024-09-12,214,5
M00018,2024-09-19,482,19
M00018,2024-09-26,257,8
M00018,2024-10-03,83,1
M00018,2024-10-10,341,8
M00018,2024-10-17,20,0
M00018,2024-10-24,140,5
M00018,2024-10-31,166,1
M00018,2024-11-07,91,3
M00018,2024-11-14,82,3
M00018,2024-11-21,405,13
M00018,2024-11-28,482,7
M00018,2024-12-05,310,7
M00018,2024-12-12,258,12
M00018,2024-12-19,320,12
M00018,2024-12-26,43,0
M00019,2024-10-23,170,3
M00019,2024-10-30,33,0
M00019,2024-11-06,355,9
M00019,2024-11-13,59,1
M00019,2024-11-20,150,4
M00019,2024-11-27,435,19
M00019,2024-12-04,363,3
M00019,2024-12-11,318,10
M00019,2024-12-18,430,20
M00019,2024-12-25,381,11
M00019,2025-01-01,39,1
M00019,2025-01-08,499,8
M00019,2025-01-15,227,5
M00019,2025-01-22,72,2
M00019,2025-01-29,232,7
M00019,2025-02-05,226,8
M00019,2025-02-12,251,6
M00019,2025-02-19,363,16
M00019,2025-02-26,190,2
M00019,2025-03-05,154,6
M00019,2025-03-12,72,1
M00019,2025-03-19,277,6
M00020,2023-11-05,412,7
M00020,2023-11-12,444,5
M00020,2023-11-19,472,11
M00020,2023-11-26,194,4
M00020,2023-12-03,331,7
M00020,2023-12-10,156,5
M00020,2023-12-17,278,5
M00020,2023-12-24,32,0
